"key","fr"
"blind_gunner.le_boss.paragraph_1","À la fin du niveau, le joueur affronte un boss.
La contrainte était qu'il ne possède pas de véritables points de vie.
Le combat devait durer entre 30 secondes et 1 minute, tout en donnant l'illusion que les tirs du joueur avaient un impact.
Ses attaques devaient aussi être synchronisées avec la musique."
"blind_gunner.lien_pour_le_telecharger.heading","Lien pour le télécharger"
"blind_gunner.lien_pour_le_telecharger.paragraph_1","Vous pouvez télécharger une build via mon <github>GitHub</github>."
"morse_learner.contexte.heading","Contexte"
"morse_learner.contexte.paragraph_1","Morse Learner est un projet réalisé en solo durant ma première année à ISART Digital.
Le sujet était de créer un jeu qui soit à la fois un One Button Game et un Serious Game.

J'ai choisi de créer un jeu mobile autour de l'apprentissage du morse, en utilisant uniquement la durée d'appui du joueur pour différencier les entrées."
"morse_learner.pitch.heading","Pitch"
"morse_learner.pitch.paragraph_1","Le joueur doit reproduire des lettres en code morse.
Un appui court crée un point, tandis qu'un appui long crée un tiret.

L'objectif est de mémoriser progressivement l'alphabet morse grâce à un système de feedback visuel, d'animations et de progression par lettres."
"morse_learner.walkthrough.heading","Walkthrough"
"morse_learner.media.walkthrough_mp4.label","Walkthrough"
"morse_learner.mon_travail.heading","Mon travail"
"morse_learner.media.inputsequence_gif.label","InputSequence"
"morse_learner.la_verification_du_morse.heading","La vérification du morse"
"morse_learner.la_verification_du_morse.paragraph_1","J'ai créé un système qui convertit les lettres en code morse, puis compare les entrées du joueur avec la lettre demandée.

À chaque point ou tiret ajouté, le jeu vérifie si la séquence est encore correcte. Si le joueur se trompe, la combinaison est réinitialisée et un feedback d'erreur est lancé."
"morse_learner.media.newletter_gif.label","NewLetter"
"morse_learner.la_progression_d_apprentissage.heading","La progression d'apprentissage"
"morse_learner.la_progression_d_apprentissage.paragraph_1","J'ai mis en place un mode d'apprentissage qui introduit les lettres progressivement.
Le joueur commence avec peu de lettres, puis en débloque de nouvelles après plusieurs bonnes réponses d'affilée."
"morse_learner.media.inputsequence_gif.label_2","InputSequence"
"morse_learner.le_feedback_visuel.heading","Le feedback visuel"
"morse_learner.le_feedback_visuel.paragraph_1","J'ai travaillé sur les animations et les retours visuels des symboles.
Les points et les tirets apparaissent avec une animation, changent d'état lorsqu'ils sont corrects, et se cassent lorsque le joueur fait une erreur.

Ces feedbacks permettent au joueur de comprendre rapidement s'il est sur la bonne séquence ou non."
"morse_learner.lien_pour_le_telecharger.heading","Lien pour le télécharger"
"morse_learner.lien_pour_le_telecharger.paragraph_1","Vous pouvez télécharger une build via mon <github>GitHub</github>."
"sokovolt.contexte.heading","Contexte"
"sokovolt.contexte.paragraph_1","Mon second projet durant ma première année à ISART Digital Paris, réalisé en groupe de 5.
Nous étions tous dans la même classe en Game Design & Programming."
"sokovolt.pitch.heading","Pitch"
"sokovolt.pitch.paragraph_1","C'est un puzzle game du type Sokoban. Le but est de déplacer les bobines tesla pour alimenter les ampoules, en les connectant à un générateur. Une fois toutes les ampoules alimentées, une porte s'ouvre, et le joueur doit la prendre pour valider le niveau."
"sokovolt.trailer.heading","Trailer"
"sokovolt.trailer.iframe_title","Sokovolt trailer"
"sokovolt.mon_travail.heading","Mon travail"
"sokovolt.media.lightning_example_in_game_mp4.label","Lightning Example In Game"
"sokovolt.les_eclairs.heading","Les éclairs"
"sokovolt.les_eclairs.paragraph_1","J'ai fait l'effet d'électricité qui relie les teslas lorsqu'elles sont alimentées.

Ce sont des Line2D qui se dirigent dans une direction en se contraignant à une largeur donnée.
L'effet est entièrement aléatoire.
J'ai exposé quasiment toutes les variables afin de pouvoir les modifier comme on le souhaite, et pouvoir les utiliser dans différents cas."
"sokovolt.les_eclairs.iframe_title","Sokovolt blocking path gameplay"
"sokovolt.la_condition_de_victoire.heading","La condition de victoire"
"sokovolt.la_condition_de_victoire.paragraph_1","J'ai également fait la condition de victoire.
Il y a 2 étapes pour gagner :

Allumer toutes les ampoules. Pour cela, il faut qu'une tesla alimentée soit présente autour de l'ampoule.

Ensuite sortir par la porte, qui peut être un défi car l'électricité entre les teslas peut bloquer le chemin."
"sokovolt.media.login_mp4.label","Login"
"sokovolt.comptes_utilisateurs.heading","Comptes utilisateurs"
"sokovolt.comptes_utilisateurs.paragraph_1","Je me suis occupé de faire l'écran de connexion et le système de connexion.
Ce sont des comptes uniquement locaux, il n'y a pas de serveurs, mais ça permet d'avoir plusieurs sauvegardes différentes et d'avoir un tableau des scores local.
Les mots de passe sont donc stockés dans l'ordinateur client sous une forme hashée."
"sokovolt.media.my_level_mp4.label","My Level"
"sokovolt.level_design.heading","Level Design"
"sokovolt.level_design.paragraph_1","Chaque personne du groupe devait réaliser au moins 2 niveaux :

1 normalement, et 1 uniquement avec ChatGPT.
Pour le niveau avec l'IA, nous ne pouvions pas modifier le niveau, toute modification devait se faire via des prompts, et pour notre jeu l'IA a eu beaucoup de mal à produire des niveaux intéressants ou réalisables."
"sokovolt.lien_pour_le_telecharger.heading","Lien pour le télécharger"
"sokovolt.lien_pour_le_telecharger.paragraph_1","Vous pouvez télécharger une build via mon <github>git</github>"
"tween_core.project.title","Tween Core"
"tween_core.project.job","Tool Programmer"
"devtober.project.title","Devtober"
"devtober.project.job","Game Programmer"
"color_survivor.project.title","Color Survivor"
"color_survivor.project.job","Game Programmer"
"dragons_cadence.project.title","Dragon's Cadence"
"dragons_cadence.project.job","Game Programmer"
"sokovolt.project.title","Sokovolt"
"sokovolt.project.job","Game Programmer"
"zero_paws.project.title","Zero Paws"
"zero_paws.project.job","Game Programmer"
"morse_learner.project.title","Morse Learner"
"morse_learner.project.job","Game Programmer"
"blind_gunner.project.title","Blind Gunner"
"blind_gunner.project.job","Game Programmer"
"musclo_surf.project.title","Musclo Surf"
"musclo_surf.project.job","Game Programmer"
"horse_gamble_ultimate_race.project.title","Horse Gamble Ultimate Race"
"horse_gamble_ultimate_race.project.job","Game Programmer"
"blocky_escape.project.title","Blocky Escape"
"blocky_escape.project.job","Game Programmer"
"shared.categories.solo","Seul"
"shared.categories.group","Groupe"
"shared.categories.unity","Unity"
"shared.categories.unreal","Unreal"
"shared.categories.godot","Godot"
"shared.categories.csharp","C#"
"shared.categories.cpp","C++"
"shared.categories.bp","BluePrint"
"shared.categories.game","Jeu"
"shared.categories.jam","Game Jam"
"shared.categories.puzzle","Puzzle Game"
"shared.categories.fps","FPS"
"shared.categories.shmup","Shoot Them 'Up"
"shared.categories.tool","Tool"
"shared.categories.package","Package"
"shared.categories.personal","Personnel"
"shared.categories.school","École"
"shared.categories.isart","ISART"
"shared.categories.iim","IIM"
"shared.categories.pc","PC"
"shared.categories.mobile","Mobile"
"shared.categories.console","Console"
"shared.categories.vr","VR"
"shared.navigation.accueil","Accueil"
"shared.navigation.projets_personnels","Projets personnels"
"shared.navigation.projets_d_ecole","Projets d'école"
"shared.navigation.game_jams","Game Jams"
"shared.navigation.contact_cv","Contact & CV"
"shared.footer.auguste_paccapelo","Auguste Paccapelo"
"shared.footer.game_programmer","Game programmer"
"shared.search.placeholder","Tous"
"shared.duration.day.singular","jour"
"shared.duration.day.plural","jours"
"shared.duration.week.singular","semaine"
"shared.duration.week.plural","semaines"
"shared.duration.month.singular","mois"
"shared.duration.month.plural","mois"
"shared.search.controlsTitle","Recherche"
"shared.search.limit","Nombre de projets"
"shared.search.sort","Trier par"
"shared.search.categories","Catégories"
"shared.search.allCategories","Toutes"
"shared.search.addFilter","Ajouter un filtre"
"shared.search.noResult","Aucun projet ne correspond à ces filtres."
"shared.search.sort.rank","Préférés"
"shared.search.sort.rank_desc","Moins préférés"
"shared.search.sort.date_desc","Récents"
"shared.search.sort.date_asc","Anciens"
